,title,location,requirements,employment_type,industry,function,fraudulent
0,Lead UX / UI Designer,"US, NY, Brookyn","4+ years of experience in UX / UI design preferred.Excellent portfolio containing work samples demonstrating a design process with an emphasis on research, data analysis and story development as well as impactful visual design solutions.High level of proficiency in Adobe Photoshop and Illustrator.Solid understanding of HTML &amp; CSS.Must be organized and self-motivated with strong written and verbal communication skills.Prior startup experience preferred.Experience with marketplace / SAAS products preferred.",Full-time,Internet,Design,Real
1,Technical Manager,"GB, CAM, Huntingdon","Food Science/Technology Graduate or similar disciplineAdvanced HACCP diploma (Desirable)You MUST have a proven track record of Technical services management within a  food manufacturing environment.(min 4 years Experience)Be a resilient Manager who can instil a positive work ethic into their team.Continued delivery of BRC "A" standardAbility to motivate and develop individuals &amp; teams.Managing teams through KPI's (Cost, Complaint, Non Conformance, Rework reduction).Concise &amp; effective Communication, Verbal &amp; Written.IT literate – Word, Powerpoint &amp; Excel.Astute commercial acumen.Passion, energy and aspiration in line with Hotel Chocolat brand and core valuesStrong self-awareness, communication, networking and interpersonal skillsAble to identify and drive IT plans in line with overall business strategiesEfficient and well-organised with good administration, planning and organisation skills and ability to prioritise tasksAct with professionalism, discretion and sensitivitySelf-starter with a positive attitudeStrong attention to detailFlexible and willing to travel",Full-time,Food Production,Quality Assurance,Real
2,Quality Engineer,"US, OH, cincinnati","Job Duties and Responsibilities:AnalysisPerform root cause analysis investigations.Develop and implement countermeasures.Conduct capability studies, certification reviews, internal audits and SPC studies.Understand ISO 9001 &amp; 13485 requirements, and assist Quality Manager in facilitating third party audits. EDUCATION AND EXPERIENCE:Bachelor's degree in engineering/engineering technology or materials science with a minimum of 3 years of progressively responsible quality control experience in a manufacturing environment. ",Full-time,Medical Devices,Engineering,Real
3,"International Broadcaster, Lao Service ","US, DC, Washington","The International Broadcaster shall have at least five (5) years of current experience. The International Broadcaster shall perform a combination of services that will include researching, interviewing, writing and voicing original news stories and reports. The International Broadcaster shall have the ability to adapt material for radio, television and/or internet about events in the target region, the U.S. and other countries. The individual shall produce and edit reports using compatible digital technology and shall be able to record and process interviews by phone, live face-to-face or in the field. The individual shall have extensive knowledge of the target region, its people, culture, institutions and political situation, and the ability to adapt English material to the target language and adapt the target language to English. The International Broadcaster shall possess and employ basic multimedia skills as required in the completion of each assignment, including the ability to take still photographs and record video via smartphone during field reporting assignments, and to upload photos and videos as needed to agency-based file servers. He or she shall assess different information to validate the comprehensiveness, accuracy and balance of news products, and shall demonstrate high standards of journalism and news experience. He or she shall have the ability to function as news announcer on live or pre-recorded news bulletins or newscasts; for video assignments the International Broadcaster shall wear attire suitable for the assignment. The International Broadcaster shall be familiar with the Agency's Best Practices Guide and shall adhere to its policies. Knowledge of Lao language required. ",Not Mentioned,Not Mentioned,Not Mentioned,Real
4,Distribution Specialist,"NL, NB, Eindhoven","Experience in professional logistic/warehouse environmentsAre a net nativeEnjoy working with tools and systems to get the job doneAre practical, hands-on and take great pride in your workAre fast, meticulous and preciseHave an upbeat, positive attitudeAre a constructive team player with good social and communication skills, especially in situations where electronic communication is the only available mediumAlways want to improve processes, but are also happy doing functional, day-to-day tasks.",Full-time,Internet,Distribution,Real
5,Insurance Agent,"US, PA, Reading",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Real
6,Chief Commercial Officer,"US, NY, ","Requisite Capabilities and Characteristics – First and foremost, the CCO must have a deep background in consumer packaged foods.  Ideally, this background will have involved service in at least one "food academy" company such as Kraft, Sara Lee, Nestle, Mars, General Mills, US Foods, etc.  S/He will possess major marketing gravitas and will have a deep rolodex of media and agency contacts, having managed multiple, successful packaged foods brands before and owned the go-to-market strategy, the business model, the product definition, and pricing.  In addition, the CCO absolutely must have deep experience as a senior executive sales leader who has led and grown a packaged foods business and owned key customer relationships while successfully driving significant growth in revenues and profits using a consultative selling approach.  S/he will be intimately familiar with both "hunter/lone wolf" and "team selling" compensation models, and will have successfully guided organizational transitions from the former to the latter.The CCO will also need to have a background that includes a collegial style in working with other C-suite members.  A propensity for articulate communication is essential.  Also mandatory are excellent budget development and management skills, and strong planning capabilities.Location – While some regular but brief headquarters time will be required, the nature of the role does not necessitate a location in any particular geography.  Thus, otherwise qualified candidates located anywhere in the continental United States will be considered.   However, an ability to travel both domestically and internationally is a must. ",Full-time,Food & Beverages,Sales,Real
7,UI Designer,"US, TX, Austin","Bachelor's degree in graphic design, web design or related field, or equivalent professional experienceThree years of UI design experience for web applicationsExperience with front-end web technologies (HTML/CSS/JS)An online portfolio or samples of work demonstrating experience creating great user-centered design solutionsPrevious professional experience transferring design elements across devices, including iOS and Android platformsPrevious professional coding experience (preferred)Ability to effectively communicate in American Sign Language (preferred)",Full-time,Computer Software,Product Management,Real
8,Fiinovation - Post for Relationship Manager,"IN, DL, New Delhi","Desired Candidate Profile: Articulate in English and Hindi. Knowledge of southern regional language will be an added advantage.We at Fiinovation believe in the aspect of team work therefore we desire a team player who is assertive and has strong interpersonal communication skills.Devises professionalism into every aspect.Able to explain every complexity in simple terms clearly.Preference given to professionals from development sector.   Job Location: Delhi Salary: CTC upto Rs. 3,00,000/- per Annum (as per skills and experience).Interview Venue:Innovative Financial Advisers Pvt. Ltd.24/30Okhla Industrial Area , Phase-3New Delhi011-42332200",Full-time,Nonprofit Organization Management,Other,Real
9,Account Management Intern ,"GB, , ","A good eye for detail.Proven management skills.Experience in Microsoft Office. Commitment to the job &amp; a drive to succeed. Hungry to learn and perfect new tricks.Excellent written and communication skills. A good degree is welcome, but not essential. We want to see self starters who are able to learn on the job.",Not Mentioned,Not Mentioned,Not Mentioned,Real
